Year,United States,Comparable Country Average,Australia,Austria,Belgium,Canada,France,Germany,Japan,Netherlands,Sweden,Switzerland,United Kingdom
1980,1184,1223,1222.2,1415.7,1381.4,1131.6,1163.2,..,1093.5,1133.1,1174.7,1151.9,1359.4
1981,1154,1202,1178.5,1409.7,1350,1097.9,1163.6,..,1089.9,1121.7,1156.4,1138.4,1310.3
1982,1127,1182,1208,1373.3,1313.7,1133.6,1124.6,..,1029.1,1115.7,1116.1,1102.2,1306.9
1983,1146,1171,1133.6,1392.1,1340.5,1061.8,1143.2,..,1037.5,1105.4,1100.3,1109.8,1285.3
1984,1125,1133,1141.8,1310.1,1283.6,1045.2,1089.9,..,1001.7,1100.5,1073.8,1046.2,1241
1985,1130,1137,1160.8,1314.4,1250.3,1050.7,1092.4,..,982.9,1106.2,1097.8,1039.9,1273.8
1986,1118,1112,1066.9,1266.4,1225.9,1058.1,1119.2,..,939,1109.6,1069.9,1026.5,1239.6
1987,1107,1068,1075.5,1221.2,1157.2,1033.2,1010.2,..,900.3,1059.1,1052.3,992.4,1182.8
1988,1111,1062,1051.1,1186.5,1142.7,1034.2,985.8,..,920.5,1055.3,1074.6,990.4,1179.3
1989,1080,1053,1090,1175.6,1159.8,1005.4,975.4,..,880.3,1078.2,1006.5,974.8,1180.2
1990,1075,1047,1006.7,1153.2,1110,987.1,954.4,1192.5,886.6,1060.2,1021.3,1003.3,1136.3
1991,1059,1028,975.7,1148.8,1095.4,969.6,937.3,1168,863.9,1050.8,1004,966.5,1127.9
1992,1042,1007,984.6,1134.8,1082.6,932.1,916.9,1122.2,856.2,1033.3,980.7,942.8,1093.7
1993,1065,1011,941.6,1115.7,1101.1,945.2,919.3,1123.8,846.3,1082.6,993.2,930,1124.3
1994,1052,977,968.3,1074.9,1053.5,929.8,881.8,1092.2,812.6,1032.1,927,905.6,1064.5
1995,1049,973,925.9,1065.3,1048.5,917.9,883.8,1073.8,824.2,1033.3,933.2,911.5,1080.1
1996,1033,957,917.6,1050.5,1029.9,923.3,880.3,1058.5,767.4,1032.1,921.7,887.7,1055.4
1997,1017,938,895,1025.4,1019.8,914.7,859.1,1021.7,753.2,1005,906.1,880.5,1037.2
1998,1004,927,858.5,1001.6,1009.5,902.3,890.4,1003.2,742.5,1002.7,898.4,864.1,1028.3
1999,1010,920,837.3,986.5,999.2,884.8,881.2,980.8,754.4,1009.7,902.7,850.8,1027.1
2000,995,884,815.7,953.9,986.6,852.7,856.9,954.9,708.1,995.2,879.3,839.2,..
2001,976,873,787.9,917.6,957.5,840.9,850.2,930.9,688,978.2,872.2,809.7,971.2
2002,964,872,791.2,928,972.2,832.7,850.1,940.6,671.7,978.3,875.1,789.7,967.1
2003,950,871,762.2,943.2,977.3,819.3,869.8,951.8,671.5,963.4,850,801.7,969.4
2004,913,829,753.4,895.9,917.9,798.7,788.8,898.7,658.9,911.1,825.7,753.6,917.6
2005,910,829,..,878.5,911.5,787.2,794.1,889.2,666.2,892.7,818.4,749.3,898.2
2006,885,790,739,841.7,859.4,753.7,747.7,853.8,644.6,866.1,800.6,721.2,864.9
2007,873,775,713.3,820.1,845.9,752.2,729.7,836.9,635.6,830.7,794.4,712.5,852.1
2008,868,768,723.4,804,842.8,739.6,725.4,835,633.5,823.7,783.3,696.7,845.1
2009,839,750,686.6,809.3,822.5,717.7,713,826.5,613.4,798,763.6,693.7,803.2
2010,835,740,678.4,787.3,823,704.4,701.1,811.1,622.4,789.5,757,678.9,790.6
2011,832,725,682.5,763.1,796.5,689.8,677.4,786.8,632.8,768.8,743.5,667.8,762.9
2012,824,727,663.5,775.8,812.5,683.4,685.6,784.8,610.6,779.2,752.4,673.7,778
2013,826,719,647.2,764,794.9,681.5,670.1,813.9,598,764.2,733.9,667.4,776.4
2014,822,700,654,735.8,745.6,..,642.3,773.3,583.2,753.3,713.1,647.6,752.3
2015,837,724,658.2,765.4,772.4,..,..,803.4,575.7,759.6,727.9,675,782.5